collection_id,target_family,target_role,target_domain,target_fulltext_stratum,question,actual_role,actual_family,actual_domain,actual_fulltext_stratum,writer_id,written_at,independence_attestation,consent_record,compensation_terms,ethics_review_applicability,ethics_review_reference,notes
HQ045,temporal,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ046,aggregation,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ047,negative,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ048,abstention,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ049,constraint,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ050,comparative,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ051,contradiction,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ052,multihop,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ053,temporal,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ054,aggregation,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ055,negative,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ056,abstention,information_specialist,computational_biology,fulltext_available,,,,,,,,,,,,,
HQ057,constraint,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ058,comparative,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ059,contradiction,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ060,multihop,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ061,temporal,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ062,aggregation,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ063,negative,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ064,abstention,graduate_researcher,computational_biology,abstract_only,,,,,,,,,,,,,
HQ065,constraint,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ066,comparative,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ067,contradiction,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ068,multihop,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ069,temporal,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ070,aggregation,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ071,negative,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ072,abstention,researcher,biomedicine,fulltext_available,,,,,,,,,,,,,
HQ073,constraint,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ074,comparative,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ075,contradiction,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ076,multihop,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ077,temporal,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ078,aggregation,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ079,negative,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
HQ080,abstention,clinician,biomedicine,abstract_only,,,,,,,,,,,,,
