task_id,task_family,question,constraint_requirements,required_units,valid_pair_requirements,valid_path_requirements,joint_sufficiency,abstention_assessment,scope_limitations,annotator_id,annotation_time,provenance_kind
constraint_0077,constraint,"Design an experiment to investigate the effects of bariatric surgery on gut microbiota in diabetic subjects, incorporating findings from both surgical intervention and dietary lipid supplementation studies. Your experimental design must include: (1) at least two different surgical procedures based on the bariatric surgery study, and (2) a dietary intervention group using lipid supplementation as demonstrated in the foxtail millet study. Describe the experimental groups, duration, and primary microbiota-related outcome measures you would assess.",,,,,,,,,,
aggregation_0258,aggregation,"Compile all quantitative values, measurements, percentages, statistical data, sample sizes, efficacy rates, error rates, time periods, dosages, and numerical outcomes reported across the CRISPR therapy studies for neurodegenerative disorders and cancer applications. Include any reported figures for off-target mutation rates, efficiency percentages, trial phases, patient numbers, treatment durations, success rates, and comparative statistics between different CRISPR approaches.",,,,,,,,,,
multihop_0196,multihop,"Based on the real-world discontinuation patterns observed in metastatic melanoma patients treated with checkpoint inhibitors like pembrolizumab and nivolumab, and considering that nivolumab can cause multiple immune-related adverse events by disrupting T-cell regulation through PD-1 receptor binding, what evidence exists that patients with metastatic renal carcinoma who discontinue immuno-oncology therapy specifically due to immune-related pneumonia can still derive long-term clinical benefit, and how might this inform treatment decisions for melanoma patients experiencing severe irAEs?",,,,,,,,,,
multihop_0040,multihop,"What is the progression of CAR-T cell therapy development from CD19-targeting treatments for B cell lymphomas to BCMA-targeting approaches for multiple myeloma, and what are the key differences in their therapeutic applications?",,,,,,,,,,
aggregation_0272,aggregation,"What are ALL the quantitative values (percentages, rates, numbers, measurements, etc.) reported in the provided papers regarding CAR T-cell therapy outcomes, patient responses, and treatment statistics?",,,,,,,,,,
temporal_0231,temporal,"How did the research focus and understanding of gut microbiota's relationship with type 2 diabetes evolve from 2015 to 2023, particularly regarding the consideration of medication effects?",,,,,,,,,,
constraint_0002,constraint,What studies have used organoid-based phenotypic drug screening to identify therapeutic compounds for neurodevelopmental disorders or cancer treatment in 2025?,,,,,,,,,,
comparative_0108,comparative,"Compare the advantages and limitations of patient-derived organoids versus patient-derived xenografts (PDX) as preclinical models for cancer research, considering factors such as human relevance, scalability, cost-effectiveness, and translational potential.",,,,,,,,,,
negative_0299,negative,"Based on the studies examining mRNA vaccine components and intranasal delivery methods, what evidence exists for failed immune responses or null findings when specific vaccine formulation parameters were tested?",,,,,,,,,,
temporal_0044,temporal,How has the understanding of epigenetic mechanisms in cancer evolved from pediatric cancer research in 2015 to tissue-specific metaplasia studies by 2021?,,,,,,,,,,
contradiction_0022,contradiction,"What explains the contradictory findings about antibiotic effects on metabolic versus cancer treatment outcomes, and how do the experimental conditions differ between studies showing antibiotics prevent androgen deficiency-induced metabolic disorders versus those showing antibiotics impair immune checkpoint inhibitor therapy?",,,,,,,,,,
constraint_0084,constraint,"Design a clinical trial protocol for CAR-T cell therapy in liver cancer patients that addresses both HLA-independent antigen targeting and cytokine release syndrome management. Your protocol must include: (1) at least two specific surface antigens that can be targeted independently of HLA presentation, and (2) at least two distinct monitoring strategies or interventions to detect and manage treatment-related complications. Justify your choices based on the therapeutic advances observed in hematological malignancies.",,,,,,,,,,
multihop_0186,multihop,"Given that mRNA-LNP therapeutics face challenges with uncontrolled immune responses as demonstrated in COVID-19 vaccines (PMC9194786), and that inefficient in vivo delivery remains a barrier for mRNA cancer vaccines in melanoma therapy (PMC11220486), how do complex coacervates address these dual challenges compared to traditional lipid nanoparticle delivery systems, and what specific advantages do they offer for controlling both immune responses and improving delivery efficiency in therapeutic applications?",,,,,,,,,,
comparative_0017,comparative,How do current CAR T-cell therapeutic approaches for cancer treatment compare with computational machine learning methods for cell type identification in single-cell analysis?,,,,,,,,,,
negative_0287,negative,"What evidence exists for successful clinical trials of CRISPR-Cas12a gene editing in treating inherited skin fragility disorders, and what were the reported efficacy rates in human patients?",,,,,,,,,,
aggregation_0249,aggregation,"What are all the quantitative values (including percentages, measurements, sample sizes, time periods, concentrations, statistical values, etc.) reported across the studies on patient-derived models for drug evaluation in cancer and cystic fibrosis research?",,,,,,,,,,
abstention_0174,abstention,What are the specific dietary risk factors and their mechanisms of action in the development of colorectal cancer in patients with inflammatory bowel disease?,,,,,,,,,,
constraint_0003,constraint,"What computational approaches have been used to study protein thermodynamics and binding free energies for drug design targeting CDK2 and disease-causing mutations, specifically using molecular docking simulations and in silico screening methods?",,,,,,,,,,
negative_0302,negative,"In the apple drought stress study (PMC12483960), which specific histone modifications showed NO significant correlation with drought-responsive gene expression changes, and what does this suggest about the selectivity of epigenetic mechanisms in plant stress responses?",,,,,,,,,,
multihop_0207,multihop,"Based on the research on drug repurposing approaches, how does the mechanism of action identified for bortezomib in nervous system cancers (as described in the 2024 multi-omics analysis) relate to the combinational therapy strategy proposed for Alzheimer's disease treatment in 2015, and what role might serotonin reuptake inhibitors play in bridging these two therapeutic approaches given their documented effects on both neuroinflammation and the excitatory-inhibitory balance in neurological disorders?",,,,,,,,,,
constraint_0089,constraint,"Design a preclinical study using patient-derived organoids (PDOs) for glioma drug screening that addresses both the physiological relevance limitations of traditional cell lines and the scalability challenges of organoid culture systems. Your experimental design must incorporate at least two specific constraints: (1) maintain the brain microenvironment context that is lacking in current preclinical glioma models, and (2) establish a real-time monitoring system that can be used for therapeutic screening platforms. Describe your methodology, expected outcomes, and how you would validate that your system overcomes the identified limitations.",,,,,,,,,,
multihop_0180,multihop,"Given that deep learning has revolutionized drug discovery by reducing time and costs (as surveyed in PMC8470987), and considering that BindCraft can generate high-affinity miniproteins but faces challenges with peptide design due to lack of stabilized tertiary structures (PMC12723675), how might the AlphaFold distillation approach for inverse protein design (PMC12216305) be adapted to address BindCraft's limitations in peptide generation, and what specific advantages would this integration provide over traditional experimentally-resolved structure-based methods?",,,,,,,,,,
constraint_0073,constraint,"A pharmaceutical company is developing a novel zinc finger protein-based therapeutic that must bind to specific DNA sequences. They need to optimize both the protein's structural stability and its drug-like properties. Design an experimental workflow that combines ion mobility mass spectrometry analysis with deep learning approaches to: (1) validate that candidate zinc finger variants maintain proper tertiary fold upon metal binding, and (2) predict which structural modifications will improve the therapeutic's pharmacokinetic properties. What specific measurements from IM-MS would be most informative for training the deep learning model, and how would you validate that the computationally predicted variants retain both structural integrity and enhanced drug properties?",,,,,,,,,,
negative_0303,negative,What are some documented cases where CRISPR/Cas9 screens failed to identify known essential genes or cancer vulnerabilities that were previously established through other methods?,,,,,,,,,,
multihop_0189,multihop,"Given that CAR-T therapies are now standard-of-care for multiple myeloma and other B-cell malignancies, and considering that tumor-associated macrophages (TAMs) in the tumor microenvironment can inhibit T cell function, how might targeting CSF1R on TAMs using engineered cellular therapies potentially improve CAR-T treatment outcomes across different age groups, and what specific challenges might arise when implementing such combination approaches in pediatric versus adult multiple myeloma patients?",,,,,,,,,,
comparative_0012,comparative,How do organoid-based drug sensitivity testing approaches compare to real-world clinical implementation of targeted therapies in cancer treatment?,,,,,,,,,,
contradiction_0144,contradiction,"Based on the systematic review of drug repurposing in cancer and the transcriptomic study of Alzheimer's disease, there appears to be a fundamental contradiction regarding the approach to drug repositioning. The cancer repurposing review suggests that existing medications can be effectively repurposed by targeting established disease hallmarks in a generalized manner, while the Alzheimer's study demonstrates significant sex-based transcriptome differences that affect drug repositioning strategies. How do you reconcile the apparent contradiction between the cancer study's implication that drug repurposing can follow a 'one-size-fits-all' approach based on disease hallmarks versus the Alzheimer's research showing that biological sex creates distinct transcriptomic profiles requiring personalized repositioning strategies?",,,,,,,,,,
constraint_0062,constraint,Design an experimental study to evaluate the safety and efficacy of a novel mRNA LNP cancer vaccine containing alpha-galactosylceramide adjuvant. Your study must include at least one constraint from reproductive safety assessment and at least one constraint from immunogenicity optimization based on the provided research.,,,,,,,,,,
comparative_0016,comparative,"Compare the clinical outcomes and safety profiles of combination immune checkpoint inhibitor therapy versus single-agent approaches in cancer treatment, particularly regarding efficacy rates and immune-related adverse events",,,,,,,,,,
abstention_0033,abstention,"What are the longitudinal changes in gut microbiome composition and metabolic outcomes in pediatric patients (ages 8-16) with type 1 diabetes following a 12-month ketogenic diet intervention, as measured by 16S rRNA sequencing and continuous glucose monitoring?",,,,,,,,,,
multihop_0181,multihop,"Given that non-small cell lung cancer (NSCLC) organoids can be established from surgically resected primary patient tissue as described in the 2020 study, and considering that patient-derived organoids have emerged as a groundbreaking platform for cancer research as noted in the 2024 prostate cancer organoid paper, how might the pharmacotyping approach detailed in the 2018 study be specifically adapted to evaluate targeted therapies for NSCLC organoids, and what advantages would this combined approach offer over traditional 2D cell line testing for identifying personalized treatment strategies in lung cancer patients?",,,,,,,,,,
negative_0056,negative,Are there studies showing that mitochondrial-nuclear communication pathways fail to coordinate gene responses to environmental cues through epigenetic mechanisms?,,,,,,,,,,
multihop_0209,multihop,"Based on the rational design principles for mRNA therapeutics that enhance stability and translation efficiency, how do these modifications specifically impact the immune response in pediatric cancer patients receiving SARS-CoV-2 mRNA vaccines, and what does this reveal about the underlying immunobiological mechanisms that determine vaccine effectiveness in different types of immunocompromised populations?",,,,,,,,,,
aggregation_0244,aggregation,"What are all the quantitative values (numerical data, measurements, concentrations, percentages, etc.) reported across the studies on dihydroberberine's effects on hERG channels and pharmacoperones for protein misfolding diseases?",,,,,,,,,,
constraint_0076,constraint,"Design an experiment to investigate how norovirus infection affects biotin metabolism in the gut microbiome of children at risk for Type 1 diabetes. Your experimental design must include: (1) a method to measure microbial biotin production capacity before and after norovirus exposure, and (2) a control group design that accounts for both viral infection effects and baseline metabolic differences. Explain how you would distinguish between direct viral effects on biotin-producing bacteria versus indirect effects through immune-mediated changes in the gut environment.",,,,,,,,,,
constraint_0087,constraint,Design an experimental approach to develop and validate a CRISPR-based biosensor for monitoring the success of hematopoietic stem cell gene editing in real-time during SCID correction therapy. Your approach must address both the efficiency limitations of homology-directed repair in primitive HSPCs and the need for sensitive detection in complex physiological environments.,,,,,,,,,,
aggregation_0259,aggregation,"Compile all quantitative values reported in the studies on drug repurposing for KRAS G12C inhibitors and Alzheimer's disease treatment, including but not limited to: binding affinities, IC50 values, docking scores, molecular dynamics simulation parameters, statistical significance values, sample sizes, percentage improvements, concentration values, and any other numerical measurements or results from computational analyses, experimental validations, or clinical assessments.",,,,,,,,,,
contradiction_0138,contradiction,"The two studies present conflicting evidence regarding tumor size and immune checkpoint inhibitor (ICI) response. While one study suggests that pre-treatment tumor size impacts response to nivolumab in head and neck squamous cell carcinoma, the other reports complete remission of bone metastasis from renal cell carcinoma despite what appears to be significant disease burden. How do you reconcile these apparently contradictory findings about the relationship between tumor burden and ICI efficacy?",,,,,,,,,,
aggregation_0264,aggregation,What are all the quantitative values reported in studies examining immune responses and thromboembolism outcomes in cancer patients receiving immune checkpoint inhibitor therapy?,,,,,,,,,,
negative_0279,negative,"In the systematic assessment of CRISPR/Cas9 efficiency in Brassica napus, which genes showed complete failure to generate any detectable mutations despite multiple targeting attempts, and what technical limitations were identified that prevented successful genome editing in this allotetraploid crop system?",,,,,,,,,,
abstention_0166,abstention,What are the long-term clinical outcomes and survival rates of patients whose treatment decisions were guided by organoid-based drug screening compared to standard care protocols?,,,,,,,,,,
temporal_0047,temporal,How has the understanding of gut microbiota's role in type 2 diabetes treatment evolved from early metformin studies to current combination therapy approaches between 2015 and 2023?,,,,,,,,,,
multihop_0179,multihop,"Given that AlphaFold2 structures have shown mixed success in retrospective ligand recognition but demonstrated high hit rates in prospective docking studies against σ2 and 5-HT2A receptors, how might the interpretability limitations of machine learning models in structure-based drug design (as highlighted in ligand affinity prediction studies) be addressed when applying these computational approaches to design SARS-CoV-2 spike protein inhibitors, and what specific structural features should be prioritized to ensure both high binding affinity and mechanistic understanding?",,,,,,,,,,
temporal_0224,temporal,"How did the understanding of epigenetic mechanisms in cancer progression evolve from 2015 to 2021, particularly regarding the shift from studying individual protein dysregulation to examining complex chromatin state changes?",,,,,,,,,,
aggregation_0269,aggregation,"What are all the quantitative values reported in the studies examining protein modifications and interactions, including molecular counts, percentages, resistance measurements, binding energies, and any other numerical data?",,,,,,,,,,
temporal_0235,temporal,"How did the computational approaches for predicting protein functions and interactions evolve from 2014 to 2022, and what shift in focus occurred regarding protein structure-function relationships?",,,,,,,,,,
constraint_0005,constraint,What are the studies on pharmacological chaperones that protect tetrahydrobiopterin-dependent enzymes and structure-based drug design approaches targeting mycolic acid biosynthesis enzymes?,,,,,,,,,,
temporal_0236,temporal,"How did the clinical application of CAR-T cell therapy for acute myeloid leukemia (AML) evolve from 2017 to 2024, and what does this progression reveal about the challenges in translating CAR-T success from B-cell malignancies to myeloid cancers?",,,,,,,,,,
contradiction_0125,contradiction,"Two studies examined SARS-CoV-2 mRNA vaccine responses but reached different conclusions about immune response robustness. PMC10042142 suggests that enhanced adjuvant systems are needed to elicit robust immune responses against SARS-CoV-2, while study 35103023 found that 98.6% of IBD patients achieved antibody responses after standard 2-dose mRNA vaccination. How do you reconcile these conflicting findings about the effectiveness of standard mRNA vaccines in generating adequate immune responses?",,,,,,,,,,
aggregation_0257,aggregation,"What are all the quantitative values (numerical data, measurements, percentages, counts, etc.) reported in the studies on alanine:glyoxylate aminotransferase folding defects and AI applications in drug discovery? Include any statistical measures, experimental parameters, performance metrics, sample sizes, concentrations, time periods, or other numerical findings from both papers.",,,,,,,,,,
comparative_0118,comparative,Compare the drug repurposing approaches used for COVID-19 treatment versus cancer treatment: How do the methodological frameworks differ between leveraging comorbidity networks with CNS disorders for COVID-19 drug discovery versus using network medicine approaches for identifying multidrug resistance solutions in cancer therapy?,,,,,,,,,,
abstention_0158,abstention,What is the complete molecular mechanism by which repurposed drugs cross the blood-brain barrier and achieve therapeutic concentrations in specific brain regions for treating Parkinson's disease?,,,,,,,,,,
multihop_0198,multihop,"Given that COVID-19 and Alzheimer's disease share pathogenic features including neuroinflammation as discussed in recent research, and considering that berberine and levetiracetam have shown neuroprotective potential in Alzheimer's disease through drug repositioning approaches, how might advanced computational methods like MiRAGE's heterogeneous network mining be utilized to systematically identify whether these or other existing neuroinflammatory drugs could be repurposed for COVID-19 treatment, and what specific biological data sources would need to be integrated to capture the shared pathogenic mechanisms between these conditions?",,,,,,,,,,
aggregation_0049,aggregation,What are all the reported clinical response rates and outcomes for CAR-T cell therapy in solid tumors across published clinical trials?,,,,,,,,,,
abstention_0170,abstention,What are the long-term clinical outcomes and 5-year survival rates of patients whose treatment was guided by organoid-based drug screening compared to patients who received standard care protocols?,,,,,,,,,,
comparative_0113,comparative,"Compare the applications and advantages of expanded primary human hepatocytes (ProliHHs) versus patient-derived organoids for disease modeling and drug development, considering their derivation sources, scalability, and functional capabilities.",,,,,,,,,,
constraint_0079,constraint,"Design an experimental study to evaluate nivolumab treatment efficacy in metastatic melanoma patients that incorporates both pharmacokinetic monitoring and molecular response assessment. Your study design must include: (1) specific timepoints for plasma nivolumab concentration measurements that align with survival outcome assessment, and (2) a ctDNA monitoring protocol that can distinguish between pseudoprogression and true disease progression during early treatment phases.",,,,,,,,,,
comparative_0013,comparative,How do organoid-based approaches for disease modeling and drug discovery compare between cancer research using circulating tumor cells versus kidney disease research using pluripotent stem cells?,,,,,,,,,,
abstention_0160,abstention,What are the specific regulatory approval timelines and safety assessment protocols required by the FDA for clinical trials of CRISPR-based therapies in pediatric patients with genetic disorders?,,,,,,,,,,
comparative_0098,comparative,Compare the applications of cerebral organoids for neurodegenerative disease drug screening versus tumor organoids for cancer drug testing. What are the key advantages and limitations of each approach in terms of disease modeling accuracy and therapeutic screening capabilities?,,,,,,,,,,
abstention_0155,abstention,What is the long-term safety profile and potential for drug resistance development when using repurposed FDA-approved drugs identified through organoid screening in pediatric patients under 5 years old with rare genetic diseases?,,,,,,,,,,
comparative_0091,comparative,"Compare the approaches used for protein-ligand interaction prediction in structured versus disordered protein systems. How do the computational methods for binding affinity prediction (such as docking-based and template-based methods used for FXR, or machine learning approaches like PSH-ML) need to be adapted when dealing with intrinsically disordered proteins (IDPs) versus well-structured proteins? Discuss the advantages and limitations of each approach in their respective contexts.",,,,,,,,,,
contradiction_0124,contradiction,"Paper [25751279] demonstrates that pharmacological chaperones can act as allosteric ligands of Frizzled4 by preventing protein misfolding, while paper [29594772] describes virtual ligand screening methods that rely on docking to predict direct binding interactions. How do these different approaches to ligand identification create conflicting perspectives on the primary mechanism of drug-target interaction?",,,,,,,,,,
contradiction_0147,contradiction,"The two papers present conflicting approaches to drug design. Paper [29594769] emphasizes that druggable binding sites must accommodate protein flexibility during the prediction process, while paper [29136364] demonstrates successful drug design using rigid helical peptide templates that maintain fixed secondary structures even after chemical modification. How do you reconcile these contradictory design philosophies - one requiring dynamic flexibility and the other relying on structural rigidity?",,,,,,,,,,
aggregation_0246,aggregation,"Aggregate and report ALL quantitative values mentioned across the provided papers, including but not limited to: performance metrics, statistical measures, molecular properties, experimental results, sample sizes, years, accuracy percentages, binding affinities, IC50 values, computational parameters, dataset sizes, and any other numerical data. Organize the values by paper and specify the context or meaning of each quantitative measurement.",,,,,,,,,,
abstention_0150,abstention,What are the long-term cardiovascular side effects of CAR-T cell therapy in pediatric patients who have been followed for more than 10 years post-treatment?,,,,,,,,,,
constraint_0063,constraint,"Based on the research on gut microbiota in metabolic disorders, design an experiment to investigate how aging affects the metabolic interactions of T2D-associated gut bacteria. Your experimental design must include: (1) at least two distinct age groups for comparison, and (2) genome-scale metabolic modeling approaches to analyze bacterial community interactions. Describe your methodology and explain how you would validate that observed changes in metabolic pathways are specifically due to aging rather than other confounding factors.",,,,,,,,,,
abstention_0153,abstention,What are the long-term effects (5+ years) of MEDY cryopreservation on the genetic stability and mutation rates of thawed human brain organoids when used for drug screening applications?,,,,,,,,,,
negative_0296,negative,"In the chondrosarcoma organoid study investigating SHH pathway activation, which conventional therapeutic approaches showed efficacy against the patient-derived organoids, and what was the measured response rate?",,,,,,,,,,
contradiction_0020,contradiction,"What are the different approaches to drug repositioning for Alzheimer's disease treatment, and how do targeted oligodendrocyte-focused strategies compare to computational transcriptome-based methods in terms of mechanistic specificity and validation outcomes?",,,,,,,,,,
multihop_0208,multihop,"Based on the gut microbiota research findings, how do the microbial alterations observed in recurrent gestational diabetes mellitus patients potentially contribute to the development of the dyslipidemia patterns seen in type 2 diabetes patients, and what role might obesity-related gut dysbiosis play as an intermediate mechanism linking these conditions?",,,,,,,,,,
temporal_0237,temporal,"How did the research focus regarding gut microbiota and type 2 diabetes evolve from 2015 to 2023, particularly in terms of accounting for medication effects?",,,,,,,,,,
negative_0277,negative,"In the scBKAP clustering method for single-cell RNA-seq data, what evidence was found for improved performance when using traditional K-means clustering compared to the proposed bisecting K-means approach?",,,,,,,,,,
negative_0055,negative,What studies have investigated drug repurposing approaches for neurodegenerative diseases like Alzheimer's disease and found limitations or challenges in current therapeutic efficacy?,,,,,,,,,,
comparative_0100,comparative,"Compare the mRNA vaccine delivery approaches described in the cancer immunotherapy study (EWSR1-targeting vaccine) versus the RSV vaccine study, and analyze how the different delivery strategies discussed in the polymer-based mRNA delivery review might affect the efficacy and safety profiles of each therapeutic application.",,,,,,,,,,
contradiction_0149,contradiction,"Two recent studies present conflicting findings about the primary epigenetic mechanisms controlling neural stem cell fate during embryonic neurogenesis. PMC12848536 (2026) emphasizes that chromatin modification and histone methylation are the dominant regulatory mechanisms, while PMC11108527 (2016) argues that early neural fate commitment is controlled by a broader network including histone modifications, chromatin remodeling, DNA modifications, and RNA-level regulation with equal importance. How do you reconcile these contradictory perspectives on whether histone modifications alone are sufficient or if multiple epigenetic mechanisms are required for proper neural development?",,,,,,,,,,
contradiction_0131,contradiction,"Two recent studies present conflicting views on epigenetic regulation's role in genome stability. Study A (PMC4706679, 2016) emphasizes that 'aberrant epigenetic control plays a key role in pathogenesis of disease' and suggests that disrupted epigenetic states are primarily detrimental to cellular function. In contrast, Study B (34702696, 2021) argues that epigenetic systems maintain 'a delicate balance between the potential benefits and deleterious aspects' of genomic elements like transposable elements, suggesting epigenetic regulation can be both protective and harmful. How do you reconcile these apparently contradictory perspectives on whether epigenetic dysregulation is fundamentally pathogenic versus balanced in its effects?",,,,,,,,,,
multihop_0035,multihop,"How do different computational approaches for predicting binding affinity in structure-based drug design compare in terms of accuracy, and what are the specific binding affinity prediction capabilities demonstrated across viral protease inhibitors, enzyme inhibitors, and activity cliff prediction?",,,,,,,,,,
temporal_0227,temporal,"How did the clinical application and understanding of CAR-T cell therapy for acute myeloid leukemia (AML) evolve from 2017 to 2024, and what does this progression reveal about the challenges in extending CAR-T success from B-cell malignancies to myeloid cancers?",,,,,,,,,,
contradiction_0120,contradiction,"Two studies examining COVID-19 mRNA vaccines report conflicting findings about antibody durability. Study A (PMC8759113) found that Comirnaty mRNA vaccine recipients maintained antibody levels above positive cut-offs for 6 months, while Study B claims that mRNA vaccine antibodies wane significantly within 3-4 months requiring booster shots. Given that both studies used similar ELISA and neutralization assays, how do you reconcile these contradictory findings about mRNA vaccine antibody persistence?",,,,,,,,,,
temporal_0226,temporal,"How did the clinical application and understanding of CAR T-cell therapy for acute myeloid leukemia (AML) evolve from 2017 to 2024, and what challenges emerged that prevented it from becoming routine treatment?",,,,,,,,,,
negative_0286,negative,What limitations or failed outcomes were reported when using gastric cancer organoids to predict individual patient tumor responses to standard chemotherapy treatments?,,,,,,,,,,
abstention_0171,abstention,What is the specific molecular mechanism by which chromatin remodeling complexes interact with DNA methyltransferases during cardiac muscle cell differentiation in response to hypoxic conditions?,,,,,,,,,,
abstention_0034,abstention,"What is the clinical efficacy of protein-protein interaction inhibitors identified through AI-enhanced computational drug discovery in treating pediatric autoimmune disorders, as measured by standardized clinical outcome scores in randomized controlled trials conducted between 2020-2024?",,,,,,,,,,
comparative_0011,comparative,How does the efficiency of CRISPR/Cas9 genome editing compare between using single sgRNA versus dual sgRNA approaches in different biological systems?,,,,,,,,,,
comparative_0097,comparative,Compare the drug repurposing approaches described in the 2022 study on toxic protein aggregates versus the 2019 study using iPSC-derived cortical neurons. What are the key methodological differences and potential advantages of each strategy for developing Alzheimer's disease therapeutics?,,,,,,,,,,
aggregation_0270,aggregation,"What are all the quantitative values (including percentages, concentrations, molecular weights, particle sizes, IC50 values, binding affinities, bioavailability measurements, drug loading capacities, encapsulation efficiencies, release rates, and any other numerical data) reported in the studies on tacrine-deferiprone hybrids for Alzheimer's disease and amino acid conjugated chitosan nanoparticles for brain targeting of saxagliptin?",,,,,,,,,,
abstention_0167,abstention,"What is the molecular mechanism by which temperature fluctuations during honey bee larval development affect the methylation patterns of CpG islands in neuronal tissue, and how do these changes correlate with adult behavioral phenotypes in foraging versus nursing worker bees?",,,,,,,,,,
negative_0285,negative,"A recent clinical trial investigated whether probiotic supplementation could enhance the effectiveness of PD-1 checkpoint inhibitor therapy in melanoma patients by modulating gut microbiota composition. Despite 12 weeks of targeted Bifidobacterium and Lactobacillus supplementation in 150 patients, researchers found no significant improvement in progression-free survival, overall response rates, or changes in immune cell infiltration compared to placebo controls. The gut microbiota composition showed minimal changes, and inflammatory markers remained unchanged. What does this negative result suggest about the relationship between probiotic interventions and cancer immunotherapy outcomes?",,,,,,,,,,
abstention_0154,abstention,What is the optimal dosing schedule and treatment duration for nivolumab in elderly patients (over 75 years) with head and neck cancer who have comorbid cardiovascular disease?,,,,,,,,,,
aggregation_0267,aggregation,"Aggregate and list ALL quantitative values (including percentages, measurements, concentrations, time points, sample sizes, statistical values, doses, etc.) reported across the vaccine development studies from PMC8049514 and PMID 36252467, organizing them by paper and providing the context for each numerical value.",,,,,,,,,,
contradiction_0127,contradiction,"Two studies present conflicting findings about the role of H3K9 dimethylation in cellular stress responses and aging. One study (PMC4889216) found that mitochondrial stress causes widespread chromatin reorganization through H3K9 dimethylation that promotes longevity, while another study (PMC12530798) suggests that epigenetic dysregulation, including histone modifications, contributes to age-related pathology in cataracts. How do you reconcile these contradictory findings about whether H3K9 dimethylation represents a protective response that promotes longevity versus a pathogenic mechanism that contributes to age-related disease?",,,,,,,,,,
temporal_0240,temporal,"How has the focus of single-cell RNA sequencing (scRNA-seq) computational methods evolved from 2021 to 2025, particularly in terms of the analytical challenges being addressed and the sophistication of approaches used?",,,,,,,,,,
comparative_0095,comparative,Compare the gut microbiota composition differences found in children with Type 1 diabetes versus the metabolite-mediated microbiota changes observed in Type 2 diabetes. How do the mechanisms of microbiota involvement differ between these two forms of diabetes?,,,,,,,,,,
